BookingID,BookingType,Status,CheckIn,CheckOut
B1,Email,Cancelled,2023-11-05,2023-11-20
B2,PhoneCall,Cancelled,2023-04-10,2023-04-18
B3,Email,Pending,2023-05-17,2023-05-18
B4,InPerson,CheckedOut,2023-04-23,2023-05-03
B5,InPerson,Pending,2023-03-14,2023-03-29
B6,Email,CheckedOut,2023-05-07,2023-05-16
B7,Email,CheckedOut,2023-04-18,2023-04-30
B8,Email,CheckedOut,2023-05-08,2023-05-22
B9,PhoneCall,Confirmed,2023-02-17,2023-02-24
B10,WebSite,CheckedIn,2023-10-16,2023-10-28
B11,PhoneCall,Pending,2023-12-26,2023-12-27
B12,InPerson,CheckedOut,2023-08-17,2023-09-01
B13,Email,Cancelled,2023-06-07,2023-06-18
B14,InPerson,Pending,2023-08-18,2023-08-22
B15,WebSite,CheckedIn,2023-06-11,2023-06-25
B16,Email,CheckedOut,2023-12-13,2023-12-24
B17,PhoneCall,Cancelled,2023-10-06,2023-10-12
B18,WebSite,CheckedIn,2023-07-23,2023-07-25
B19,WebSite,CheckedOut,2023-12-11,2023-12-23
B20,PhoneCall,Pending,2023-04-27,2023-05-06
